english,twi
storeybuilding,abansoro
housekeeper,fidua so hwɛfoɔ
housebreaking,adammuo
hire,bɔ paa
hive,nwowa dan
hoard,deɛ wɔde asum kokoam
hoarse,afa
hoax,nnaadaa
hill,bebɔ
hobby,anigyeɛ dwumadie
ho,ahyawoni
hoist,si frankaa
hole,tokuro
highlight,mpɛmpɛnso kɛseɛ
high,tenten
highway,kwantempɔn
hind,akyire
herdsman,mmoakuo so hwɛfoɔ
hew,twa
hinder,si kwan
heritage,agyapadeɛ
hindrance,osiakwan
hinderance,osiakwan
hint,bɔ ani
herbalmedicine,abibiduro
heresy,abususɛm
hereditary,wɔde wo
hero,ɔdɔmmarima
hesitate,twetwe nan ase
hesitation,ntwentwɛnsoɔ
heyday,mmeranteberɛ mu
hideous,tantaantan
holiday,afoofi da
holocaust,ɔsɛeɛ
honest,ɔnokwafoɔ
honey,ɛwoɔ
hollow,tokuro da mu
holiness,ahoteɛ
hospitality,ahɔhogyeɛ
holy,kronkron
homage,obuo
homesick,ani agyina
honeymoon,ayefohyia akyi ahomegyeɛberɛ
hose,dorobɛn
host,ahɔhogyefoɔ
hostage,deɛ wɔafa no nnɔmum
henceforth,ɛfiri nnɛ rekɔ
henchman,okyidifoɔ
hemisphere,ntwahohyiafa
helper,ɔboafoɔ
hemorrhoid,kooko
hemorrhage,mogyatuo
hemorrhoids,kooko
herb,ahaban
herculean,adwumasono
herd,mmoakuo
hedgehog,apɛsɛ
spider,ananse
guineafowl,akɔmfɛm
hawk,akorɔma
mosquito,ntontom
grasshopper,abɛbɛ
tick,somorɔ
beetle,ɔbankuo
bedbug,sonkuronsuo
eagle,ɔkɔdeɛ
chameleon,abosomakoterɛ
temple,asontɔrem
friday,efiada
mustache,ano nwi
armpit,amɔtoamu
hand,nsa
neck,ɛkɔn
scruff,ɛkɔn akyi nam
palm,nsayam
cheek,afono
finger,nsateaa
gallbladder,bɔnwono
arm,abasa
ribs,mfe mpadeɛ
stomach,yafunu
elbow,abatwɛ
waist,sisie
vein,ntini
fingernail,bɔwerɛ
intestine,nsono
bladder,dwonsɔtwaa
navelbellybutton,afunuma
lowerabdomen,ayaaseɛ
womb,awodeɛ
hip,pa
thigh,ɛserɛ
october,ahinime
knee,kotodwe
body,nipadua
august,ɔsanaa
november,obubuo
december,ɔpɛnimma
skin,honam
bodyparts,honam akwaa
hair,nwi
september,ɛbɔ
flesh,nam
head,etire
face,anim
skull,tikwankora
eye,ani
nose,ɛhwene
eyelashes,anisoatɛtɛ
brain,adwene
mouth,ano
forehead,moma
gum,ɛse akyi nam
throat,mene
shoulder,abatire
occiputbackhead,atikɔ
eyebrow,ani ntɔn nwi
heart,akoma
chest,koko
ear,aso
kidney,sawa
toothteeth,ɛse
tongue,tɛkyerɛma
chin,abɔdweɛ
beard,abɔdwesɛ
liver,brɛboɔ
lung,ahrawa
pancreas,tann
saturday,memeneda
sunday,kwasiada
january,ɔpɛpɔn
july,kitawonsa
february,ɔgyefoɔ
march,ɔbɛnem
april,oforisuo
may,kotonimma
june,ayɛwohomumɔ
bear,pagya kɔ
adder,nanka
duck,dabodabo
owl,patuo
camel,yoma
monday,ɛdwoada
crab,ɔkɔtɔ
tuesday,ɛbenada
wednesday,wukuada
hyena,pataku
thursday,yawoada
vulture,ɔpɛtɛ
crow,anene
bushback,ɔwansane
centipede,sakasaka
tortoise,akyekyedeɛ
millipede,kankabi
cricket,akatakyire
bongo,trɔmo
bat,apan
flyingfox,nankwaasere
pangolin,aprawa
deer,ɔforoteɛ
hippopotamus,susono
civet,kankane
jackal,sakraman
eel,only
foal,pɔnkɔ ba
antelope,adowa
snake,ɔwɔ
pottotreebear,ɔwea
driverants,nkrane
pig,prako
buffalo,ɛkoɔ
boar,prakonini
sow,gu
crocodile,ɔdɛnkyɛm
fowl,akokɔ
squirrel,opuro
cockroach,tɛfrɛ
housefly,nwansena
alligator,ɔkyekye
earthworm,sonsono
leopard,etwie
scorpion,nyanyankyerɛ
bird,ntakraboa
hen,akokɔ bedeɛ
grasscutter,akranteɛ
butterfly,afofantɔ
cock,akokɔnini
rat,okusie
forestsquirrel,opurohemaa
groundsquirrel,amoakua
tiger,ɔsebɔ
lice,edwie
prayingmantis,akokromfi
shark,oboodede
whale,bonsu
porcupine,kɔtɔkɔ
testicle,hwowa
breast,nufoɔ
remorse,nnuhoo
grandchild,nana
shin,nanhini
back,akyire
girl,abaayewa
son,ɔbabarima
envy,anibere
grandfather,nanabarima
shame,aniwuo
grandmother,nanabaa
selfishness,pɛsɛmenkomenya
red,kɔkɔɔ
greatgrandfather,nanabarima prenu
oldwoman,aberewa
firstborn,abakan
health,apɔmuden
lastborn,kaakyire
brown,dodoeɛ
ash,nson
grey,nsonso
pink,memen
purp,beredum
doctor,ɔyaresafoɔ
drug,aduro
herbalist,odunsini
illness,yareɛ
sickness,yareɛ
disease,yareɛ
wound,ekuro
hospital,ayaresabea
syringe,paneɛ
medicine,aduro
enema,asa
enemasyringe,bɛntoa
itch,ahokeka
black,tuntum
boil,pɔmpɔ
blue,bibire
bachelor,osigyani barima
white,fitaa
friend,adamfoɔ
green,ahabammono
yellow,akokɔsradeɛ
girlfr,mpena
royal,ɔdehyeɛ
gold,sika kɔkɔɔ
beloved,ɔdɔfoɔ
daughter,ɔbabaa
adoptedchild,abanoma
orphan,agyanka
spinster,osigyani baa
cousin,onua
datingcourtship,mpenatweɛ
triplets,ahenasa
boyfriend,mpena
wife,ɔyere
sweetheart2,akoma mu tɔfe
inlaw,asew
oldman,akɔkora
brotherinlaw,akonta
niece,wɔfaase
twin,ata
boy,abarimaa
quadruplets,ahenanan
fatherinlaw,asew barima
motherinlaw,asew baa
sisterinlaw,akumaa
widow,okunafoɔ
rival,ɔkorafoɔ
widower,barima kunafoɔ
man,barima
husband,okunu
father,agya
baby,abɔfra
mother,ɛna
greatgrandmother,nanabaa prenu
marriage,awareɛ
wedding,ayeforɔ
sister,onuabaa
brother,onuabarima
bride,ayeforɔ yere
auntauntyauntie,sewaa
bridegroom,ayeforɔ kunu
surprise,nwonwa
sadness,awerɛhoɔ
family,abusua
sibling,onua
uncle,wɔfa
happiness,anigyeɛ
shyness,fɛreɛ
grandparent,nana
hatred,ɔtan
familymember,abusuani
parent,ɔwofoɔ
love,ɔdɔ
fear,ehu
woman,ɔbaa
pride,ahantan
vagina,ɛtwɛ
patience,aboterɛ
kindness,ayamyɛ
pity,ahummɔborɔ
arrogance,ahantan
clitoris,ɛtwɛba
leg,ɛnan
anger,abufuo
anus,turumu
jealousy,anibere
astonishment,ahodwiri
boredom,aniha
courage,akokoɔduro
heel,nantini
foot,nantabono
toe,nansoaa
toenail,nan bɔwerɛ
ankle,nanpɔso
sole,nan mmuromu
bone,dompe
joint,ahyiaeɛ
rectum,kɔkɔbo
bonemarrow,akyim
penis,kɔteɛ
backbone,berɛmo
buttock,ɛtoɔ
lip,anofafa
wrist,abakɔn
lump,badwoa
kneepitpoplitealfossa,nan kokom
toothache,kaka
measles,ntoburo
gonorrhoea,babaso
hivaids,babaso werɛmfoɔ
cancer,kokoram
vomit,ɛfeɛ
cripple,obubuafoɔ
coconut,
stroke,nnwodwoeɛ
palmtree,abɛ dua
candidiasis,odeepua
cold,nwunu
bean,adua
palmfruit,abɛ
ladle,kwantere
sponge,sapɔ
tigernut,atadwe
sieve,sɔneeɛ
plate,prɛte
fork,adinam
hearth,asommurofi
kitchen,mukaase
bathroom,adwareeɛ
diningplace,adidibea
lantern,kanea
comb,afe
pestle,wɔma
smoke,wisie
mortar,waduro
basket,kɛntɛn
soap,samina
window,mpoma
bucket,bokiti
towel,towuro
veranda,abranaa so
broom,praeɛ
cutlass,nkrantɛ
oven,fononoo
knife,sekammoa
fish,nsuomnam
meat,mogyanam
mirror,ahwehwɛ
spectacles,ahwehwɛniwa
eyeglasses,ahwehwɛniwa
vegetable,atosodeɛ
bedroom,piam
hall,asa so
sugarcane,ahwedeɛ
chair,akonnwa
table,ɛpono
spoon,atere
cloth,ntoma
beef,nantwinam
mutton,odwannam
pork,prakonam
bed2,mpa
desk,adamadwa
pillow,sumiiɛ
palmoil,abɛ ngo
pillowcase,sumiiɛ nnuraho
rag,ntomago
mat,kɛtɛ
bedsheet,nnasoɔ
blanket,adasoɔ
lobster,ɔbɔnkɔ
door,ɛpono
palmkernel,adwe
pear,paya
palmkerneloil,adwe ngo
herring,ɛmane
snail,nwa
lime,ankaa twadeɛ
peanut,nkateɛ
potato,aborɔdwomaa
bread,paanoo
yam,bayerɛ
pineapple,aborɔbɛ
cocoyam,mankani
tomato,nɛnkyemɔɔno
cocoyamleaf,kontomire
banana,kwadu
egg,kosua
flour,esam
orange,ankaa
salteddriedtilapia,koobi
maize,aburoo
cassava,bankye
plantain,borɔdeɛ
pepper,mako
ginger,akekaduro
rice,ɛmo
sugar,asikyire
salt,nkyene
pawpaw,borɔferɛ
amnesia,awerɛfireyareɛ
onion,gyeene
dough,ɛmmɔre
gardenegg,nyaadewa
pile,boa ano
haemorrhoid,kooko
okro,nkuruma
barren,bonini
impotence,kɔtewuiɛ
parkinsonsdisease,awosoawosoɔ
haematuria,dwonsɔmogya
eczema,ɛkorɔ
dizziness,anisobirie
hernia,nkwoe
lunacy,adammɔ
paralysis,mmubuo
dumb,emum
elephantiasis,gyepim
blindness,anifra
dysentery,konkurowaa
hypertension,mogyaborosoɔ
ulcer,kisikuro
deafness,asosie
baldness,apampampaeɛ
cough,ɛwa
rheumatism,ahotutuo
diabetes,asikyireyareɛ
footrot,aporɔaporɔ
waistpain,sisiyareɛ
hunchback,akyakya
breastcancer,nufoɔ mu kokoram
chickenpox,mpete
whoopingcough,nsamanwa
leprosy,kwata
convulsion,asensene
asthma,ntehyeewa
fever,atiridii
epilepsy,etwirɛ
headache,tipaeɛ
malaria,huraeɛ
stomachache,yafunu yareɛ
diarrhoea,ayamtuo
constipation,ayamtim
cholera,ayamtubrafoɔ
jaundice,huraeɛnini
goitre,kɔmpɔ
radio,akasafidie
umbrella,kyiniiɛ
cup,kuruwa
pomade,nku
urine,dwonsɔ
sweat,mfifire
machine,afidie
phlegm,hwennorɔ
sputum,ahorɔ
drink,nom
hear,te
see,hu
mucous,amamman
promise,hyɛ bɔ
oval,nyankanko
arc,kankofa
square,ahinanan
rectangle,fasene
mango,amango
hospital2,ayaresabea
bag,kotokuo
remember,kae
appreciate,ani sɔ
understand,te aseɛ
hate,tan
believe,gye di
aeroplane,wiemhyɛn
aircraft,wiemhyɛn
have,wɔ
like,pɛ
know,nim
resemble,sɛ
need,hia
eat,di
band,agofomma
call,frɛ
sleep,da
bath,dware
take,gye
agree,yɛ adwene
is,yɛ
they,wɔn
your,wo
peel,sensene
lick,tafere
bite,ka
we,yɛn
us,yɛn
them,wɔn
my,me
read,kan
plant,dua
his,ne
cry,su
hers,ne dea
think,dwene
teach,kyerɛ
show,kyerɛ
our,yɛn
their,wɔn
fight,ko
ours,yɛn dea
go,kɔ
fry,kye
buy,tɔ
cut,twa
open,bue
carry,so
climb,foro
walk,nante
theirs,wɔn dea
yours,mo dea
triangle,ahinasa
star,nsoromma
come,ba
diamond,dɛnkyɛmmoɔ
moon,ɔsrane
sell,tɔn
pentagon,ahinnum
hexagon,ahinnsia
parallelogram,nsanehina
it,ɛno
halfmoon,ɔsramfa
arrow,akyerɛkyerɛkwan
i,me
you,wo
he,ɔno
she,ɔno
him,no
her,no
ejaculate,ahobaa
toilet,agyanan
sperm,nkwaboa
toilet2,tiafi
nail,dadewa
padlock,krado
key,safoa
hoe,asɔ
ladder,atwedeɛ
pickaxe,fatuo dadeɛ
shovel,sofi
dustpan,asesawura
rope,ahoma
box,adaka
mill,nikanika
saw,asradaa
wood,dua
circle,kanko
sewingmachine,adepam afidie
washingmachine,nnoɔmasie afidie
calculator,nkotabuo afidie
telephone,ahomatorofoɔ
paper,krataa
metal,dadeɛ
plank,taaboo
stone,ɛboɔ
saliva,ntasuo
wall,fasuo
tear,te
fart,ɛta
blood2,mogya
chamberpot,kuruwaba
pencil,pɛnsere
fence,ɛban
axe,akuma
match,burogya
needle,paneɛ
pen,twerɛdua
scissors,apasoɔ
glass,tɔmmɛ
duster,daseta
butter,bɔta
swan,dabodabo
silver,dwetɛ
festival,afahyɛ
store,sotɔɔ
cigarette,sigarɛte
offspring,ba
beat,bo
here,ɛha
soldier,ɔsraani
kick,bɔ
ocean,ɛpokɛseɛ
today,ɛnnɛ
tomorrow,ɔkyena
cheap,fo
wear2,hyɛ
there,ɛhɔ
bark,pɔ
dawn,ahemadakye
rightnow,seesei ara
pound,wɔ
yesterday,ɛnnora
month,bosome
year,afe
noon,prɛmtoberɛ
afternoon,awia
midday,prɛmtoberɛ
now,seesei
pain,yɛ ya
remove,yi
time,ɛberɛ
morning,anɔpa
shave,yi
evening,anwummerɛ
night,anadwo
this,yei
good,pa
midnight,anadwo dasuom
give,ma
full,ma
kudos,ayɛyie
congratulations,mo ne yɔ
inside,emu
only,nko ara
bleach,pɔ
knot,ɛpɔ
long,tenten
harvest,twa
sea,ɛpo
chew,we
die,wu
reject,po
find,pɛ
bake,to
fly,tu
harmattan,ɔpɛ
dance,sa
wash,si
where,ɛhe
throw,to
happen,si
pinch,ti
dig,tu
say,ka
hide,tɛ
worry,ha
big,kɛseɛ
light,ɛhann
top,ɛsoro
descend,siane
wet,fɔ
beautiful,fɛ
loosen,go
filth,efi
leave,kɔ
sweet,dɛ
grow,nyini
1804,afɛ
heavy,duru
debt,ɛka
day,ɛda
fetch,sa
reach,tene nsa
break,bu
solidify,ka
respect,bu
deep,deɛ emu dɔ
some,ebi
weed,nwura
a,bi
create,bɔ
proverb,ɛbɛ
arrive,duru
swindle,bu
half,ɛfa
television,tɛlɛbihyɛn
teacher,ɔkyerɛkyerɛni
booze,boro
chalk,twɔɔko
cake,keeki
watch,hwɛ
school,sukuu
trousers,trɔsa
coalpot,koropɔɔto
kerosene,kresin
lorry,lɔre
nurse,nɛɛse
partition,nkyɛmu
police,opolisi
policeofficer,opolisini
computer,kɔmputa
bicycle,sakre
syllabus,selaboso
refrigerator,asukɔkyea adaka
fridge,asukɔkyea adaka
hankerchief,hankete
car,teaseɛnam
shirt,atadeɛ
concert,kɔnsɛte
future,daakye
beginning,ahyɛaseɛ
begin,hyɛ aseɛ
bad,bɔne
question,bisa
small,ketewa
laugh,sere
stranger,ɔhɔhoɔ
strange,nwanwa
close,to mu
vowel,ɛnne nyegyeɛ
consonant,anom nyegyeɛ
blessing,nhyira
female,ɔbaa
bless,hyira
poor,deɛ nni sika
citizen,ɔmanni
youngwoman,ababaawa
pastor,ɔsɔfoɔ
youngman,aberanteɛ
journey,akwantuo
heat,ɔhyew
ridicule,di fɛw
ridiculous,deɛ nyansa nnim
preacher,ɔsɔfoɔ
preach,ka nsɛm pa
freetime,adagyeɛ
wake,nyane
sick,yare
many,pii
lazy,akwadworɔ
insult,di atɛm
agemate,tipɛn
lazyperson,ɔkwadwofoɔ
human,onipa
humanbeing,onipa dasani
idiot,ɔkwasea
sensible,deɛ nyansa wɔ mu
cheat,sisi
sensibleperson,nyansafoɔ
bitter,nwono
thief,ɔkorɔmfoɔ
slave,akoa
wide,trɛ
cheating,asisie
scarce,ɛho yɛ den
empty,hwee
abundant,abu so
living,akatua
listen,tie
slow,nyaa
fast,ntɛm
hard,den
untie,sane
quiet,komm
soft,mmerɛ
sense,nyansa
speak,kasa
stupidity,gyimie
firstborn2,abakan
stupid,gyimi
tie,kyekyere
calm,dinn
noise,dede
dead,owufoɔ
near,bɛn
rich,deɛ ɔwɔ sika
far,akyiri
new,mono
left,benkum
no,dabi
yes,aane
learner,osuani
wealth,ahodeɛ
wealthy,ɔdefoɔ
tall,tenten
east,apueeɛ
short,tiatia
old,dada
enemy,ɔtamfo
victory,nkonim
truthfulperson,ɔnokwafoɔ
liar,ɔtorofoɔ
divorce,awaregyaeɛ
west,atɔeɛ
continue,toa so
north,atifi
south,anaafoɔ
defeat,di so nkonim
male,barima
child,akwadaa
truth,nokwasɛm
discontinue,twa so
life,nkwa
true,nokorɛ
add,ka bɔ mu
lie,da
subtract,te firi mu
death,owuo
adult,opanin
floor,ɛfam
brave,akokoɔdurufoɔ
coward,ohufoɔ
front,anim
ending,awieeɛ
rainyseason,osutɔberɛ
eternal,afebɔɔ
ground,ɛfam
ask,bisa
answer,yi ano
who,hwan
sothat,sɛdeɛ ɛbɛyɛ a
that,ɛno
these,yeinom
those,ɛnonom
what,ɛdeɛn
which,deɛhe
whom,hwan
so,nti
or,anaa
itself,ne ho
maybe,ebia
quickly,ahoɔhare so
clause,ɔkasamufa
metaphor,nnyinahɔma
suffix,nsiakyire
conjunction,nkabomdeɛ
ourselves,yɛn ho
hyphen,nkabom nsɛnkyerɛne
yourselves,mo ho
themselves,wɔn ho
aback,nwanwa
abandon,yi totwene
abash,gu anim ase
abase,bu abomfeaa
abate,te so
abbey,nkɔkoradan
antonym,abirabɔ
synonym,nkyerɛase korɔ
exercise,apɔmutenetene
example,nhwɛsoɔ
composition,susutwerɛ
story,ayɛsɛm
dictation,ɔkatwerɛ
idiom,kasakoa
simile,asesɛsɛm
when,berɛ bɛn
myself,me ho
poem,anwensɛm
hyperbole,anihanehane
acknowledgement,nnyetomu
yourself,wo ho
why,adɛn
how,ɛkwan bɛn so
preface,nnianimu
himself,ne ho
herself,ne ho
acknowledge,gye tom
mainclause,ɔkasamufa titire
verb,adeyɛ
subordinateclause,ɔkasamufa kumaa
sentence,ɔkasamu
simplesentence,ɔkasamu tiawa
adverb,ɔkyerɛfoɔ
verbcomplement,adeyɛ boafoɔ
adjective,edin nkyerɛkyerɛmu
chapter,ɔfa
noun,edin
pronoun,edinnsiananmu
compoundsentence,ɔkasamu tenten
paragraph,kasapɛn
letter,atwerɛdeɛ
page,kratafa
prefix,nsianimu
exclamation,nteamu
word,asɛmfua
invertedcommas,nkatomdeɛ
exclamationmark,nteamudeɛ
bracket,nkahyɛmdeɛ
punctuation,agyinahyɛdeɛ
fullstop,osiwieeɛ
grammar,kasa mmara
period,mmeresantene
alphabet,ntwerɛdeɛ
apostrophe,ogya nsɛnkyerɛne
perhaps,ebia
phrase,ɔkasasin
comma,nsanhɔ
colon,osiprenu
semicolon,osisan
questionmark,asɛmmisa nsɛnkyerɛne
already,dada
outside,abɔnten
never,da
seldom,ntaa
twice,mprenu
thrice,mprɛnsa
again,bio
before,ansa
very,pa ara
atall,koraa
because,ɛfiri sɛ
if,sɛ a
as,sɛ
asif,asɛ
even,pɛ
evenif,sɛ mpo
inorderthat,sɛdeɛ ɛbɛyɛ a
than,kyɛn
unless,agye sɛ
well,yie
whose,hwan
until,kɔpem sɛ
while,berɛ korɔ a
suppose,susu
whether,oo oo
inspiteof,ne nyinaa akyi no
happily,anigyeɛ so
and,ne
but,nanso
abroad,amannɔne
abject,buruburoo
abjure,pae mu ka
abomination,akyiwadeɛ
abrogate,twa mu
abrupt,mpofirim
abstain,twi ho firi
accede,gye tom
accent,ɛkwan soronko a obi fa so bobɔ kasa bi mu nsɛmfua ahodoɔ
ineedyou,mehia wo
acclamation,ahurusibɔ
southeast,anaafoɔ apueeɛ
accordion,nkɔntwe
sideways,nkyɛnmu
southwest,anaafoɔ atɔeɛ
sithere,tena ha
greeting,nkyea
accumulate,boa ano
accuracy,pɛpɛɛpɛyɛ
howareyou,wo ho te sɛn
happybirthday,mema wo awoda pa
accurate,pɛpɛɛpɛ
accursed,deɛ nnomee di n akyi
goodbye,nante yie
xmas,buronya
farewell,nante yie
xray,nipadua mu mfonin
iloveyou,medɔ wo
xylophone,adakabɛn
accusation,soboɔ
accuse,bɔ soboɔ
stand,sɔre
imissyou,mafe wo
turntoyourleft,mane wo benkum so
please,mepa wo kyɛw
underthetree,dua no ase
welcome,akwaaba
sorry,kosɛ
thankyou,da ase
idontloveyou,mennɔ wo
ilikeyou,mepɛ w asɛm
goodnight,da yie
gostraightahead,kɔ anim tee
propose,se pɛ
turntoyourright,mane wo nifa so
takecar,hwɛ wo ho so yie
goodmorning,mema wo akye
goodafternoon,mema wo aha
goodevening,mema wo adwo
sit,tena
sitdown,tena ase
christmas,buronya
newyear,afe foforɔ
easter,yesu wusɔreɛ da
merrychristmas,afenhyia pa
whatsup,ɛdeɛn na ɛrekɔ so
greet,kyea
sing,to dwom
lookforward,hwɛ anim
lookback,hwɛ akyi
lookdown,hwɛ fam
turn,mane
lookup,hwɛ soro
raiseyourhead,pagya wo ti
looktoyourright,hwɛ wo nifa so
junction,nkwanta
goback,kɔ w akyi
turnaround,dane wo ho
goforward,kɔ w anim
looktoyourleft,hwɛ wo benkum so
accost,hyia obi kasa n anim
comeforward,bra w anim
account,bu akonta
accountant,nkontabufoɔ
accounting,nkontabuo
accrue,boa ano
righthand,nsa nifa
lefthand,nsa benkum
northeast,atifi apueeɛ
acclimatize,kokwa
northwest,atifi atɔeɛ
accommodate,ma baabi tena
accompaniment,nkekaho
acceptable,deɛ dodoɔ gye tom
acceptance,nnyetom
accomplice,bɔneyɛ boafoɔ
accomplish,wie
accompany,gya kwan
accord,nteaseɛ
accomplished,deɛ wakwadare biribiyɛ ho
accordance,mmara kwan so
accept,gye tom
abundance,mmorosoɔ
access,ɛkwan
abuse,ateetee
accessory,akadeɛ
abysmal,ɛnsɔ ani
accident,kwanhyia
accessible,deɛ ɛmu wura nyɛ den
acclaim,yi ayɛ
absurd,nyansa nnim
abstract,adwenemudeɛ
abundant2,abu so
abyss,amena donkodonko
academic,deɛ ɛfa sukuu suapɔn ho
academy,asuaeɛ
abscond,dwane
absent,nni hɔ
absentee,ɔkobɔfoɔ
absolve,sane tire
absenteeism,kobɔ
about,ho
absorb,nonom
absorbent,deɛ ɛnonom ntɛmtɛm
abort,yi gu
abortion,nyinsɛnyiguo
abound,bu
abortive,deɛ anyɛ yie
abortionist,nyinsɛnyigufoɔ
above,ɛsoro
abrade,twi
abominable,deɛ ɛnyɛ koraa
abrasion,atwitwie
abattoir,namkumbea
ablaze,dɛre framfram
able,deɛ ɔtumi yɛ biribi
abolish,gu nhyehyɛeɛ
abdomen,yafunu
abnormal,deɛ ne nneyɛ mfa kwan mu
abode,efie
abolition,ntwasoɔ
abominate,kyiri kɔkɔkɔkɔ
abbreviate,twa so
abdicate,tu ho adeɛ so
abduct,kyere sie
aberration,nneyɛ a ɛmfa kwan mu
abet,hyɛ kutupa
abhor,kra kyiri
abideby,di mmara so
ability,tumi
acknowledgement2,me din de
whatisyourname,wo din de sɛn
accused,deɛ wɔabɔ no soboɔ
xenophobia,aman foforɔ so foɔ anitan
achiever,deɛ ɔtu mpɔn wɔ n adesua anaa n adwuma mu
acquiesce,de amemenemfe gye tom
yearn,pɛ
acquiescence,amemenemfe nnyetomu
yell,tea mu
adjective2,edin nkyerɛkyerɛmu
iliveat,mete
advice,afotuo
adapt,sesa su ma ɛne foforɔ nsɛ
adaptable,deɛ ɛtumi ɔtumi sesa ne su ma ɛne foforɔ sɛ
adhoc,mpofirim adeyɛ
adjacent,deɛ ɛwɔ nkyenmu
admiral,kohyɛn mu sahene
advertise,bɔ dawuro
advert,dawurubɔ
advise,tu fo
adviser,ɔfotufoɔ
advocate,ddi ma
aerate,ma mframa mfam
afar,akyirikyiri
aesthetic,afɛɛfɛdeɛ
affable,deɛ ɔpɛ nnipa
admire,kamfo
adolescence,mmabunuberɛ
admission,nnyetomu
admirer,deɛ n ani gye obi ho
admit,gye to mu
adorn,siesie
admixture,mfrafraeɛ
adore,dɔ obi biribi yie pa ara
admonish,ka anim
admonition,animka
adopt,fa suban foforɔ
adoption,ɔbagyeɛ
adoration,nkotosɔreɛ
adornment,deɛ yɛde siesie obi biribi ma ɛyɛ fɛ
adulation,nkamfoɔ
adulteducation,mpanimfoɔ adesua
adulterate,fra mu
adulterer,deɛ wafa ne yere akyi
adulteress,ɔyere a wafa ne kunu akyi
adultery,awareɛ akyi adwamammɔ
adulthood,mpanimfeɛ so
advance,kɔ anim
advancement,nkankorɔ
advantage,mfasoɔ
advent,ahyɛaseɛ
adventure,asiane dwumadie a anigyeɛ ne ahomka wɔ mu
adversary,ɔtamfo
adverse,deɛ ɛko tia obi
adversity,amanehunu
adjoin,bata ho
adjourn,tu hyɛ da
addicted,deɛ ɔntumi nnyae nnubɔnenom
adjudicate,bu atɛn
adjust,sesa
adjustable,deɛ yɛtumi sesa
adjustment,nsesaeɛ
admirable,deɛ ɛsɛ nkamfoɔ
addict,nnubɔnenomfoɔ
addition,deɛ ɛka ho
additional,deɛ ɛka ho
address,siesie
adequate,deɛ ɛdɔɔso
adhere,di so
adhesion,adefam
activist,deɛ ɔpere pɛ nsesaeɛ
activity,dwumadie
actress,ɔbaa a godini
actor,barima a godini
actual,pɔtee
actually,ampa
iamsick,meyare
acute,deɛ emu ayɛ den
adage,ɛbɛ
